keyword,supply_count,demand_count_30d,supply_demand_ratio,supply_demand_score,velocity_30d,velocity_score,avg_followers,grailed_hype_score,price_recent,price_prior,price_momentum,price_momentum_score,total_score,rank,calc_date
Number Nine AW03 jacket,708,11,64.36,8.94,11,10.0,84.75,4.20,375.0,,,5.0,7.68,1,2026-04-29
Number Nine AW09 piece,702,11,63.82,8.95,11,10.0,82.87,4.08,350.0,,,5.0,7.65,2,2026-04-29
Raf Simons FW02 knit,6,1,6.0,9.90,0,0.0,178.17,10.0,362.0,,,5.0,6.47,3,2026-04-29
Prada bowling shirt,159,6,26.5,9.56,6,5.45,53.16,2.23,688.0,,,5.0,6.04,4,2026-04-29
Raf Simons SS03 cargo,9,1,9.0,9.85,0,0.0,138.67,7.55,1600.0,,,5.0,5.83,5,2026-04-29
Helmut Lang FW00 outerwear,1,1,1.0,9.98,0,0.0,103.0,5.33,1300.0,,,5.0,5.33,6,2026-04-29
Raf Simons SS03 tee,13,1,13.0,9.79,0,0.0,94.15,4.78,775.0,,,5.0,5.12,7,2026-04-29
Helmut Lang SS99 piece,128,2,64.0,8.95,2,1.82,48.44,1.94,360.0,,,5.0,4.66,8,2026-04-29
Vetements oversized hoodie,261,3,87.0,8.57,3,2.73,29.25,0.75,692.0,,,5.0,4.50,9,2026-04-29
Hysteric Glamour snake denim,77,2,38.5,9.37,2,1.82,27.60,0.65,225.0,,,5.0,4.48,10,2026-04-29
Vetements DHL tee,31,1,31.0,9.49,0,0.0,45.90,1.78,395.0,,,5.0,4.27,11,2026-04-29
Helmut Lang bondage pants,98,1,98.0,8.39,1,0.91,50.53,2.07,765.0,,,5.0,4.23,12,2026-04-29
Hysteric Glamour varsity jacket,332,2,166.0,7.27,2,1.82,29.32,0.75,188.0,,,5.0,3.78,13,2026-04-29
Number Nine destroyed tee,136,1,136.0,7.76,0,0.0,25.48,0.51,195.0,,,5.0,3.34,14,2026-04-29
Hysteric Glamour graphic tee,3037,5,607.4,0.0,5,4.55,17.21,0.0,97.0,,,5.0,1.86,15,2026-04-29
