keyword,listing_id,title,sold_price,sold_date,sold_at,condition,followers,category,created_at,fetch_date
Number Nine AW03,95402642,Number (Nine) AW03 Double Skull Velour Jacket,800,2026-04-19,2026-04-19T20:04:11.495Z,is_used,7,tops,2026-04-15T17:36:28.541Z,2026-05-09
Number Nine AW03,87370675,Number Nine AW03 Touch Me I'm Sick Heart Patch Converse,575,2026-01-22,2026-01-22T19:20:18.160Z,is_used,171,footwear,2025-11-04T18:20:37.475Z,2026-05-09
Number Nine AW03,89901211,Number Nine AW03 “Touch Me I’m Sick” Kurt Cobain Jeans,170,2025-12-30,2025-12-30T07:19:14.489Z,is_gently_used,67,bottoms,2025-12-25T18:13:57.208Z,2026-05-09
Number Nine AW03,92367754,NUMBER NINE AW ‘03 STUDDED JEWEL VELVET PANTS,230,2026-03-08,2026-03-08T05:23:20.051Z,is_used,111,bottoms,2026-02-12T23:09:32.435Z,2026-05-09
Number Nine AW03,87962985,NUMBER NINE AW ‘03 STUDDED JEWEL VELVET PANTS,160,2025-11-18,2025-11-18T19:48:50.560Z,is_used,20,bottoms,2025-11-17T07:47:45.262Z,2026-05-09
Number Nine AW03,94981124,Number (N)ine AW03 Touch Me I’m Sick Graphic T-Shirt | 5,385,2026-05-09,2026-05-09T02:10:24.531Z,is_gently_used,19,tops,2026-04-06T02:22:44.213Z,2026-05-09
Number Nine AW03,95870628,Number (N)ine AW03 Rosary Chain Tee,99,2026-04-26,2026-04-26T01:46:09.237Z,is_gently_used,169,tops,2026-04-25T00:47:53.907Z,2026-05-09
Number Nine AW03,90600535,AW03 Number Nine Striped Tee,168,2026-01-27,2026-01-27T07:00:52.508Z,is_gently_used,71,tops,2026-01-09T04:21:35.969Z,2026-05-09
Number Nine AW03,87607456,Vtg AW 03 Number Nine X Rolling Stone T-Shirt,144,2025-12-01,2025-12-01T00:38:57.960Z,is_used,7,tops,2025-11-09T19:39:36.425Z,2026-05-09
Number Nine AW03,93868812,Number Nine AW05 Red “The High Streets” Zip,700,2026-05-08,2026-05-08T18:28:43.622Z,is_gently_used,86,tops,2026-03-15T19:28:57.411Z,2026-05-09
Number Nine AW03,79977705,Number Nine AW09 Blue Denim Jacket,120,2026-04-16,2026-04-16T18:21:05.389Z,is_gently_used,63,outerwear,2025-05-23T00:57:58.337Z,2026-05-09
Number Nine AW03,86699930,Number Nine Aw02 Nowhere Man t shirt,80,2026-03-29,2026-03-29T03:34:32.811Z,is_gently_used,257,tops,2025-10-21T19:27:26.997Z,2026-05-09
Number Nine AW03,92927350,Number nine AW06 Noir sunglasses,140,2026-03-27,2026-03-27T06:16:17.958Z,is_used,57,accessories,2026-02-25T00:27:37.852Z,2026-05-09
Number Nine AW03,90869425,Number Nine AW04 Tee,175,2026-03-19,2026-03-19T18:52:33.584Z,is_gently_used,503,tops,2026-01-14T18:19:25.953Z,2026-05-09
Number Nine AW03,93691408,Number Nine AW05 Ortega Denim,200,2026-03-13,2026-03-13T20:19:56.075Z,is_gently_used,54,bottoms,2026-03-11T21:09:46.619Z,2026-05-09
Number Nine AW03,91602701,Number Nine AW06 Noir Pain Denim,225,2026-03-08,2026-03-08T01:30:59.576Z,is_gently_used,119,bottoms,2026-01-28T11:40:40.755Z,2026-05-09
Number Nine AW03,92240908,Number Nine AW07 Love Period Takahiro Plaid Western Shirt,120,2026-03-06,2026-03-06T08:14:31.917Z,is_gently_used,3,tops,2026-02-10T05:22:39.768Z,2026-05-09
Number Nine AW03,93053779,Number nine AW06 Noir blazer,300,2026-02-27,2026-02-27T17:10:11.216Z,is_new,0,tailoring,2026-02-27T16:33:33.518Z,2026-05-09
Number Nine AW03,90741674,number nine aw04 tribal tee,300,2026-02-26,2026-02-26T09:04:14.402Z,is_gently_used,50,tops,2026-01-11T20:09:20.012Z,2026-05-09
Number Nine AW03,91376273,number nine aw05 fender hoodie,315,2026-02-06,2026-02-06T00:42:18.064Z,is_gently_used,171,tops,2026-01-23T19:40:15.032Z,2026-05-09
Number Nine AW03,86044229,Vintage Number Nine AW00 Knight By Giovani Estevez T-Shirt,90,2026-02-02,2026-02-02T15:15:25.709Z,is_used,15,tops,2025-10-06T19:20:19.978Z,2026-05-09
Number Nine AW03,91017526,Number Nine AW04 Give Peace A Chance Denim,185,2026-01-30,2026-01-30T13:00:24.165Z,is_new,38,bottoms,2026-01-16T18:47:22.445Z,2026-05-09
Number Nine AW03,90992875,Number Nine AW01 “Standards” Grunge Denim,275,2026-01-16,2026-01-16T17:04:31.726Z,is_gently_used,2,bottoms,2026-01-16T07:43:16.951Z,2026-05-09
