keyword,brand,series,supply_count,demand_count_30d,supply_demand_ratio,supply_demand_score,velocity_30d,velocity_score,avg_followers,grailed_hype_score,price_recent,price_prior,price_momentum,price_momentum_score,total_score,rank,calc_date
Number (N)ine,Number (N)ine,,10943,467,23.43,2.97,467,10.0,36.8535,9.24,180.0,,,5.0,6.85,1,2026-06-13
Raf Simons,Raf Simons,,10220,229,44.63,1.59,229,10.0,36.5444,9.22,531.0,,,5.0,6.36,2,2026-06-13
Number (N)ine AW03,Number (N)ine,AW03,212,15,14.13,4.02,15,5.23,96.9906,10.0,299.0,,,5.0,5.98,3,2026-06-13
Vetements,Vetements,,10863,189,57.48,1.05,189,9.89,26.1309,8.39,601.0,,,5.0,5.93,4,2026-06-13
Number (N)ine AW09,Number (N)ine,AW09,52,5,10.4,4.65,5,3.38,119.9808,10.0,245.0,,,5.0,5.64,5,2026-06-13
Helmut Lang,Helmut Lang,,10528,167,63.04,0.85,167,9.66,18.2229,7.52,250.0,,,5.0,5.58,6,2026-06-13
Hysteric Glamour,Hysteric Glamour,,25133,345,72.85,0.54,345,10.0,17.8032,7.46,125.0,,,5.0,5.55,7,2026-06-13
Helmut Lang Bondage,Helmut Lang,Bondage,190,8,23.75,2.94,8,4.14,57.7579,10.0,645.0,,,5.0,5.27,8,2026-06-13
Prada,Prada,,213,6,35.5,2.09,6,3.67,38.1784,9.33,634.5,,,5.0,4.67,9,2026-06-13
Prada Bowling,Prada,Bowling,213,6,35.5,2.09,6,3.67,38.1784,9.33,634.5,,,5.0,4.67,9,2026-06-13
Raf Simons FW02,Raf Simons,FW02,111,3,37.0,2.0,3,2.61,113.2072,10.0,4500.0,,,5.0,4.48,11,2026-06-13
Helmut Lang FW00,Helmut Lang,FW00,26,1,26.0,2.75,1,1.31,77.9615,10.0,804.5,,,5.0,4.36,12,2026-06-13
Raf Simons Consumed,Raf Simons,Consumed,90,2,45.0,1.58,2,2.07,117.6111,10.0,1660.0,,,5.0,4.17,13,2026-06-13
Helmut Lang SS99,Helmut Lang,SS99,34,1,34.0,2.18,1,1.31,62.3235,10.0,400.0,,,5.0,4.16,14,2026-06-13
Hysteric Glamour Snake,Hysteric Glamour,Snake,167,3,55.67,1.12,3,2.61,27.8263,8.55,250.0,,,5.0,3.81,15,2026-06-13
Vetements DHL,Vetements,DHL,41,1,41.0,1.78,1,1.31,30.7561,8.8,495.0,,,5.0,3.72,16,2026-06-13
